loan_amnt,annual_inc,dti,emp_length,grade,term,purpose,home_ownership,state,revol_util,fico,default
17000.0,50000.0,8.24,3 years,B, 60 months,debt_consolidation,MORTGAGE,IN,48.4,684.0,0
20000.0,52000.0,33.97,6 years,E, 60 months,debt_consolidation,OWN,UT,88.1,684.0,0
12000.0,150000.0,6.96,7 years,A, 36 months,credit_card,MORTGAGE,IL,12.4,814.0,0
30000.0,80000.0,15.5,10+ years,B, 36 months,debt_consolidation,RENT,WA,86.6,669.0,0
5000.0,130000.0,8.65,4 years,B, 36 months,debt_consolidation,MORTGAGE,NC,112.0,699.0,1
5000.0,60000.0,13.46,2 years,C, 36 months,credit_card,MORTGAGE,SC,63.8,684.0,0
28000.0,106000.0,24.9,10+ years,A, 36 months,debt_consolidation,MORTGAGE,MI,84.8,734.0,0
18000.0,42000.0,17.63,10+ years,C, 60 months,debt_consolidation,RENT,CO,64.6,694.0,0
20000.0,55000.0,23.35,8 years,C, 60 months,debt_consolidation,MORTGAGE,CA,53.6,679.0,0
25000.0,95000.0,16.0,10+ years,A, 36 months,debt_consolidation,MORTGAGE,UT,36.9,774.0,0
10000.0,85000.0,4.57,10+ years,B, 60 months,debt_consolidation,MORTGAGE,NJ,58.3,709.0,1
16000.0,65000.0,25.61,10+ years,A, 36 months,debt_consolidation,OWN,CA,45.3,719.0,0
10000.0,50000.0,11.07,10+ years,C, 60 months,debt_consolidation,MORTGAGE,TX,73.0,689.0,0
4100.0,29000.0,13.7,2 years,E, 36 months,debt_consolidation,MORTGAGE,FL,96.0,669.0,0
16575.0,39500.0,16.32,10+ years,B, 36 months,credit_card,RENT,WA,91.0,674.0,1
14000.0,130000.0,19.0,1 year,C, 36 months,debt_consolidation,MORTGAGE,NC,56.2,704.0,0
11000.0,55000.0,20.27,2 years,B, 36 months,debt_consolidation,MORTGAGE,UT,7.4,704.0,0
18700.0,52000.0,30.23,10+ years,C, 36 months,debt_consolidation,MORTGAGE,TX,34.7,714.0,0
28000.0,73000.0,13.04,10+ years,C, 60 months,debt_consolidation,MORTGAGE,MI,78.0,669.0,1
21000.0,180000.0,9.77,3 years,C, 60 months,credit_card,MORTGAGE,TX,77.1,664.0,1
7000.0,60000.0,11.5,< 1 year,A, 36 months,debt_consolidation,RENT,OH,4.0,684.0,0
21000.0,130000.0,13.83,2 years,B, 36 months,debt_consolidation,MORTGAGE,OH,10.6,759.0,0
30000.0,89000.0,9.75,10+ years,B, 60 months,credit_card,MORTGAGE,MA,82.0,704.0,0
8500.0,44500.0,19.42,10+ years,B, 36 months,debt_consolidation,MORTGAGE,PA,52.2,689.0,0
15000.0,88000.0,36.57,10+ years,A, 36 months,credit_card,MORTGAGE,IN,72.2,699.0,0
6000.0,35000.0,9.12,5 years,B, 36 months,debt_consolidation,RENT,TN,58.7,669.0,0
20000.0,78000.0,36.93,10+ years,A, 36 months,home_improvement,MORTGAGE,KY,60.6,784.0,0
12000.0,65000.0,16.49,2 years,D, 60 months,debt_consolidation,OWN,RI,36.3,669.0,1
18000.0,67000.0,19.56,10+ years,C, 60 months,debt_consolidation,MORTGAGE,VA,30.2,699.0,0
3125.0,52000.0,11.15,4 years,D, 36 months,debt_consolidation,RENT,NV,90.3,694.0,0
20000.0,80500.0,16.76,3 years,A, 36 months,credit_card,RENT,IL,73.1,704.0,0
5000.0,63000.0,4.72,9 years,B, 36 months,credit_card,MORTGAGE,TX,70.7,669.0,0
6825.0,26658.01,31.65,7 years,D, 36 months,credit_card,MORTGAGE,CO,99.1,694.0,1
6600.0,80000.0,27.0,< 1 year,B, 36 months,credit_card,RENT,CA,80.9,674.0,0
21000.0,225000.0,28.41,10+ years,C, 60 months,debt_consolidation,MORTGAGE,NJ,77.6,679.0,0
4800.0,64700.0,37.21,7 years,C, 36 months,credit_card,RENT,AZ,71.4,669.0,1
11000.0,30000.0,18.72,2 years,C, 60 months,debt_consolidation,OWN,FL,32.6,739.0,0
14000.0,35000.0,19.24,8 years,D, 60 months,debt_consolidation,OWN,IN,67.2,669.0,0
10000.0,30000.0,22.88,2 years,D, 60 months,credit_card,RENT,OH,59.5,689.0,0
8000.0,50000.0,15.67,7 years,B, 36 months,debt_consolidation,RENT,NV,81.0,669.0,0
7000.0,60000.0,10.12,3 years,B, 36 months,medical,OWN,VA,72.3,694.0,0
35000.0,182993.0,25.26,10+ years,B, 36 months,debt_consolidation,MORTGAGE,IL,95.2,699.0,0
