loan_amnt,annual_inc,dti,emp_length,grade,term,purpose,home_ownership,state,revol_util,fico,default
20000.0,75000.0,1.68,4 years,D, 60 months,major_purchase,MORTGAGE,OK,34.2,734.0,0
22000.0,86000.0,28.59,10+ years,B, 36 months,debt_consolidation,MORTGAGE,VA,58.0,684.0,0
5600.0,60000.0,24.56,10+ years,A, 36 months,credit_card,RENT,TX,55.7,684.0,0
13000.0,55000.0,21.12,3 years,C, 36 months,credit_card,MORTGAGE,CO,63.1,684.0,0
7300.0,57500.0,14.88,10+ years,D, 36 months,debt_consolidation,MORTGAGE,MN,88.5,674.0,0
15000.0,64000.0,12.34,7 years,A, 36 months,credit_card,MORTGAGE,NJ,27.8,779.0,0
22000.0,68000.0,21.21,10+ years,B, 60 months,home_improvement,MORTGAGE,PA,24.2,709.0,1
3000.0,125000.0,6.83,5 years,B, 36 months,credit_card,MORTGAGE,TX,72.4,679.0,0
10000.0,100000.0,5.76,10+ years,D, 60 months,debt_consolidation,RENT,FL,34.5,674.0,1
16000.0,58000.0,20.88,< 1 year,D, 60 months,debt_consolidation,RENT,CA,68.4,669.0,0
20000.0,48700.0,11.11,< 1 year,C, 60 months,debt_consolidation,MORTGAGE,IL,75.7,709.0,0
12000.0,56000.0,21.69,4 years,F, 60 months,debt_consolidation,RENT,NY,43.6,669.0,1
15000.0,40000.0,21.23,2 years,E, 60 months,credit_card,RENT,AZ,75.2,679.0,1
9000.0,76000.0,14.65,10+ years,A, 36 months,credit_card,RENT,NY,68.5,684.0,0
6000.0,40000.0,25.88,1 year,A, 36 months,debt_consolidation,RENT,IL,38.0,724.0,0
25000.0,60000.0,15.74,2 years,B, 36 months,debt_consolidation,RENT,CA,60.4,694.0,0
35000.0,85000.0,30.04,3 years,C, 60 months,credit_card,MORTGAGE,WI,77.9,704.0,0
12125.0,53480.0,33.44,7 years,B, 36 months,debt_consolidation,MORTGAGE,CA,64.9,684.0,0
5125.0,40884.0,36.84,8 years,C, 36 months,credit_card,MORTGAGE,LA,35.9,714.0,0
19000.0,50200.0,18.29,5 years,E, 60 months,debt_consolidation,RENT,CA,48.0,664.0,0
15000.0,36000.0,33.33,4 years,B, 36 months,credit_card,MORTGAGE,WI,34.0,719.0,0
5300.0,25000.0,26.4,< 1 year,B, 36 months,debt_consolidation,RENT,TX,42.7,664.0,0
12000.0,55000.0,25.53,7 years,A, 36 months,credit_card,MORTGAGE,WI,37.0,714.0,0
35000.0,150000.0,18.98,6 years,E, 60 months,debt_consolidation,MORTGAGE,FL,70.9,699.0,0
4550.0,37000.0,6.75,5 years,B, 36 months,debt_consolidation,MORTGAGE,MO,52.8,669.0,0
28000.0,210000.0,9.15,2 years,C, 36 months,credit_card,RENT,CA,74.0,679.0,0
20000.0,82500.0,18.94,10+ years,C, 60 months,debt_consolidation,MORTGAGE,GA,43.4,689.0,1
12000.0,50000.0,9.1,10+ years,A, 36 months,credit_card,MORTGAGE,ND,60.6,724.0,0
3000.0,75000.0,11.7,8 years,B, 36 months,home_improvement,MORTGAGE,GA,59.9,729.0,0
11575.0,50000.0,5.66,< 1 year,E, 60 months,debt_consolidation,OWN,NY,71.8,704.0,0
16000.0,54000.0,18.42,10+ years,B, 60 months,credit_card,MORTGAGE,KY,52.1,684.0,0
10000.0,27000.0,19.56,2 years,D, 36 months,credit_card,MORTGAGE,TN,42.3,684.0,0
32000.0,115000.0,18.84,5 years,F, 60 months,major_purchase,MORTGAGE,GA,93.2,704.0,1
28000.0,144379.0,18.06,10+ years,A, 36 months,credit_card,MORTGAGE,AR,79.1,709.0,0
15000.0,105000.0,23.36,2 years,B, 60 months,debt_consolidation,MORTGAGE,NJ,53.3,734.0,0
23175.0,69000.0,29.98,9 years,C, 36 months,credit_card,MORTGAGE,AZ,99.8,684.0,1
25000.0,300000.0,5.96,3 years,A, 36 months,debt_consolidation,MORTGAGE,NV,84.8,689.0,1
35000.0,95000.0,11.72,7 years,D, 60 months,debt_consolidation,RENT,NJ,49.9,699.0,0
3500.0,28838.0,5.87,7 years,B, 36 months,car,MORTGAGE,IN,16.6,714.0,0
12000.0,75000.0,26.24,1 year,B, 60 months,debt_consolidation,MORTGAGE,LA,81.1,704.0,0
18000.0,69000.0,28.57,10+ years,E, 60 months,debt_consolidation,OWN,MD,76.3,694.0,0
21000.0,57000.0,28.32,5 years,D, 60 months,home_improvement,MORTGAGE,FL,46.2,704.0,0
7250.0,41000.0,28.69,10+ years,C, 36 months,debt_consolidation,OWN,NY,57.2,684.0,1
12000.0,42000.0,20.51,10+ years,B, 36 months,debt_consolidation,RENT,PA,32.8,699.0,0
20000.0,105000.0,11.91,5 years,B, 36 months,debt_consolidation,RENT,CA,85.7,679.0,0
18500.0,50000.0,15.34,1 year,A, 36 months,debt_consolidation,RENT,IL,92.0,714.0,0
6750.0,60000.0,29.42,10+ years,D, 36 months,debt_consolidation,OWN,NY,33.2,679.0,0
35000.0,225000.0,15.25,10+ years,B, 60 months,debt_consolidation,MORTGAGE,NC,33.4,714.0,0
10000.0,106000.0,19.59,10+ years,B, 36 months,home_improvement,MORTGAGE,NY,60.0,704.0,0
19350.0,44000.0,19.48,10+ years,C, 36 months,credit_card,RENT,NJ,65.9,664.0,0
5000.0,38000.0,6.22,10+ years,B, 36 months,credit_card,RENT,CA,30.2,669.0,0
35000.0,340000.0,10.68,6 years,D, 60 months,small_business,MORTGAGE,TX,21.2,739.0,0
25600.0,96000.0,14.31,8 years,A, 36 months,credit_card,MORTGAGE,AL,47.9,744.0,0
9600.0,36000.0,7.03,2 years,B, 36 months,debt_consolidation,MORTGAGE,MS,73.7,664.0,1
35000.0,425000.0,18.39,10+ years,B, 36 months,debt_consolidation,MORTGAGE,AZ,87.0,679.0,1
20000.0,240000.0,11.83,3 years,E, 60 months,debt_consolidation,MORTGAGE,WA,70.3,664.0,1
5600.0,70000.0,16.25,1 year,B, 36 months,credit_card,RENT,FL,33.0,664.0,1
14400.0,70000.0,13.73,1 year,A, 36 months,credit_card,RENT,IL,40.4,674.0,0
20000.0,73000.0,25.81,10+ years,E, 60 months,debt_consolidation,MORTGAGE,OH,63.2,679.0,1
25000.0,80000.0,14.54,10+ years,A, 60 months,credit_card,OWN,TX,11.1,794.0,0
12325.0,50000.0,15.22,10+ years,C, 36 months,debt_consolidation,MORTGAGE,PA,28.0,664.0,0
25000.0,68000.0,9.53,10+ years,A, 36 months,debt_consolidation,RENT,WY,51.4,719.0,0
9500.0,57000.0,18.76,3 years,C, 36 months,home_improvement,MORTGAGE,OH,44.0,679.0,1
7000.0,76000.0,28.68,9 years,C, 36 months,small_business,MORTGAGE,NC,41.2,719.0,1
28000.0,107000.0,21.02,< 1 year,A, 36 months,debt_consolidation,MORTGAGE,NC,6.1,824.0,0
30000.0,300000.0,15.51,5 years,B, 36 months,credit_card,MORTGAGE,LA,68.2,699.0,0
5000.0,52000.0,18.23,5 years,B, 36 months,debt_consolidation,MORTGAGE,TN,21.3,724.0,0
3000.0,105800.0,12.14,2 years,A, 36 months,other,RENT,TX,29.6,719.0,0
17525.0,66000.0,35.84,3 years,D, 60 months,credit_card,RENT,VA,40.4,699.0,0
15000.0,90000.0,14.24,2 years,A, 36 months,vacation,RENT,NV,4.9,814.0,0
18000.0,42000.0,21.68,4 years,E, 60 months,credit_card,RENT,VA,87.6,664.0,1
7000.0,53560.0,11.97,10+ years,B, 36 months,debt_consolidation,MORTGAGE,AR,18.4,674.0,0
1450.0,24000.0,0.2,9 years,E, 36 months,other,MORTGAGE,MI,0.1,694.0,0
14500.0,82400.0,15.16,7 years,C, 60 months,debt_consolidation,RENT,NJ,42.0,684.0,0
18900.0,43000.0,14.9,10+ years,E, 60 months,debt_consolidation,RENT,TX,89.7,699.0,0
8000.0,33000.0,25.02,4 years,B, 36 months,debt_consolidation,RENT,UT,69.1,689.0,0
23100.0,55000.0,28.93,10+ years,E, 60 months,debt_consolidation,OWN,GA,72.8,714.0,0
26400.0,65000.0,27.49,< 1 year,D, 60 months,credit_card,MORTGAGE,IL,65.0,709.0,0
16000.0,74000.0,15.84,10+ years,B, 60 months,debt_consolidation,MORTGAGE,CA,13.8,699.0,0
10000.0,25000.0,30.58,2 years,C, 60 months,home_improvement,MORTGAGE,MA,32.0,704.0,0
13425.0,32000.0,16.62,10+ years,D, 36 months,debt_consolidation,RENT,CO,1.5,679.0,1
18400.0,40000.0,24.61,< 1 year,D, 60 months,credit_card,OWN,IL,64.0,679.0,0
2500.0,55800.0,12.58,2 years,C, 36 months,medical,RENT,FL,43.9,669.0,1
8000.0,61000.0,2.97,6 years,C, 36 months,other,RENT,NY,47.7,724.0,0
23375.0,75344.0,6.82,2 years,G, 60 months,small_business,MORTGAGE,TX,10.0,734.0,1
8000.0,61000.0,14.08,10+ years,C, 36 months,debt_consolidation,RENT,PA,68.8,674.0,1
15000.0,40000.0,27.57,3 years,C, 60 months,credit_card,MORTGAGE,OH,61.2,664.0,1
21500.0,53760.0,28.48,< 1 year,D, 60 months,debt_consolidation,RENT,CA,58.4,664.0,1
15000.0,75000.0,22.43,7 years,A, 36 months,debt_consolidation,MORTGAGE,MI,25.6,724.0,0
18000.0,62000.0,16.76,3 years,C, 60 months,credit_card,RENT,TX,57.9,669.0,1
8150.0,40000.0,32.55,5 years,E, 36 months,debt_consolidation,RENT,GA,79.1,684.0,1
16000.0,147123.0,27.85,10+ years,A, 36 months,debt_consolidation,MORTGAGE,NV,74.5,724.0,0
30000.0,75000.0,16.43,10+ years,B, 60 months,debt_consolidation,MORTGAGE,MA,52.3,709.0,0
14000.0,90000.0,9.04,10+ years,A, 36 months,debt_consolidation,RENT,CA,42.9,709.0,0
20000.0,42000.0,21.74,2 years,C, 60 months,credit_card,RENT,VA,76.9,684.0,0
18925.0,61791.0,26.14,10+ years,C, 36 months,credit_card,MORTGAGE,TN,58.4,709.0,0
15200.0,38000.0,29.28,10+ years,E, 60 months,debt_consolidation,OWN,VA,34.0,694.0,0
35000.0,150000.0,8.75,3 years,C, 36 months,debt_consolidation,RENT,CA,90.1,694.0,0
25625.0,99000.0,11.04,10+ years,D, 36 months,debt_consolidation,RENT,CA,49.0,669.0,1
9000.0,60000.0,25.86,2 years,B, 36 months,credit_card,RENT,IN,73.3,669.0,1
8650.0,48100.0,33.98,6 years,E, 36 months,debt_consolidation,MORTGAGE,TX,97.8,679.0,1
10000.0,90000.0,1.55,5 years,B, 36 months,vacation,RENT,GA,4.8,739.0,0
21850.0,65000.0,24.61,10+ years,D, 60 months,debt_consolidation,MORTGAGE,CA,85.8,669.0,0
35000.0,100000.0,22.28,10+ years,E, 60 months,debt_consolidation,MORTGAGE,IL,81.2,709.0,0
28000.0,216000.0,4.12,10+ years,A, 36 months,debt_consolidation,MORTGAGE,MA,9.1,809.0,0
15000.0,48000.0,37.2,3 years,B, 36 months,debt_consolidation,MORTGAGE,TX,52.0,684.0,1
5000.0,35000.0,17.26,< 1 year,B, 36 months,debt_consolidation,RENT,CA,18.1,669.0,0
20000.0,82500.0,35.84,2 years,B, 36 months,credit_card,RENT,TX,39.7,669.0,1
21950.0,65000.0,25.98,5 years,C, 36 months,debt_consolidation,MORTGAGE,FL,50.0,709.0,0
11000.0,30000.0,9.68,2 years,B, 36 months,credit_card,MORTGAGE,NJ,38.8,724.0,0
3600.0,56000.0,36.2,1 year,D, 36 months,small_business,RENT,NY,48.2,669.0,1
12000.0,75000.0,9.5,< 1 year,D, 36 months,debt_consolidation,RENT,TX,86.2,664.0,0
3000.0,35000.0,33.4,10+ years,C, 36 months,debt_consolidation,MORTGAGE,SC,43.6,684.0,1
10000.0,90000.0,15.4,7 years,B, 36 months,credit_card,MORTGAGE,TX,82.5,669.0,0
15000.0,55000.0,12.35,10+ years,B, 36 months,debt_consolidation,MORTGAGE,CA,72.4,664.0,0
24800.0,62000.0,17.87,2 years,E, 60 months,debt_consolidation,MORTGAGE,OK,37.9,719.0,0
10000.0,45000.0,27.95,2 years,B, 36 months,debt_consolidation,RENT,MO,24.4,699.0,0
9925.0,34500.0,17.15,2 years,C, 36 months,debt_consolidation,RENT,MO,39.9,694.0,1
6500.0,62000.0,29.27,< 1 year,B, 36 months,credit_card,MORTGAGE,OH,57.1,669.0,1
24000.0,50000.0,3.7,6 years,B, 36 months,home_improvement,MORTGAGE,NJ,2.7,684.0,1
20000.0,50000.0,28.88,10+ years,E, 60 months,debt_consolidation,OWN,CA,20.6,694.0,1
21000.0,70000.0,24.84,3 years,C, 36 months,debt_consolidation,RENT,CA,70.8,694.0,0
22800.0,67000.0,7.95,10+ years,B, 36 months,debt_consolidation,MORTGAGE,NM,60.5,689.0,0
9500.0,42000.0,22.74,1 year,D, 36 months,small_business,RENT,MN,10.0,724.0,1
20000.0,104000.0,10.3,10+ years,D, 60 months,debt_consolidation,MORTGAGE,CA,0.4,689.0,0
13100.0,60000.0,30.4,10+ years,E, 60 months,debt_consolidation,OWN,IL,44.0,674.0,0
8000.0,52250.0,10.91,6 years,A, 36 months,car,MORTGAGE,MO,17.7,784.0,0
7000.0,62000.0,14.48,5 years,C, 36 months,other,RENT,TX,42.1,684.0,1
17450.0,82000.0,31.9,3 years,C, 60 months,credit_card,OWN,MO,80.4,734.0,0
8000.0,95000.0,9.58,1 year,C, 36 months,debt_consolidation,MORTGAGE,OH,43.0,664.0,0
20000.0,300000.0,2.96,10+ years,C, 36 months,debt_consolidation,RENT,FL,10.5,664.0,0
18100.0,75000.0,32.69,1 year,B, 60 months,debt_consolidation,RENT,OH,29.0,724.0,0
14000.0,62000.0,26.25,3 years,E, 60 months,home_improvement,MORTGAGE,MI,34.5,664.0,0
21000.0,125000.0,12.65,3 years,C, 36 months,debt_consolidation,MORTGAGE,CT,66.0,674.0,1
2500.0,45000.0,2.51,9 years,D, 36 months,small_business,RENT,NY,40.6,669.0,0
7200.0,20000.0,31.82,5 years,D, 36 months,debt_consolidation,OWN,CA,23.4,734.0,0
13600.0,85000.0,10.84,1 year,B, 36 months,credit_card,MORTGAGE,FL,96.8,679.0,0
6475.0,30000.0,31.96,< 1 year,C, 36 months,debt_consolidation,RENT,KY,34.8,704.0,0
8000.0,95000.0,13.58,6 years,A, 36 months,credit_card,OWN,CO,39.8,719.0,0
24000.0,56000.0,26.79,1 year,C, 36 months,debt_consolidation,MORTGAGE,MO,73.0,674.0,1
7000.0,38000.0,18.83,8 years,B, 36 months,debt_consolidation,MORTGAGE,NV,35.4,669.0,0
28000.0,250000.0,2.53,4 years,A, 36 months,debt_consolidation,MORTGAGE,NJ,26.6,734.0,0
2400.0,40000.0,14.73,2 years,B, 36 months,debt_consolidation,MORTGAGE,TN,56.3,704.0,0
18500.0,75000.0,24.27,6 years,C, 60 months,debt_consolidation,MORTGAGE,KS,56.6,729.0,0
26000.0,85000.0,21.48,8 years,C, 36 months,credit_card,RENT,NY,39.4,669.0,0
15000.0,60000.0,17.76,10+ years,C, 60 months,credit_card,MORTGAGE,CA,53.2,699.0,0
30000.0,100000.0,4.31,3 years,F, 60 months,other,RENT,PA,24.7,699.0,0
10000.0,50000.0,20.93,10+ years,E, 60 months,home_improvement,OWN,IN,2.2,684.0,0
27800.0,129000.0,37.17,10+ years,B, 36 months,debt_consolidation,RENT,MA,51.2,719.0,0
7500.0,87500.0,12.76,6 years,B, 36 months,debt_consolidation,RENT,CA,52.3,664.0,0
23600.0,70000.0,22.46,3 years,C, 36 months,other,MORTGAGE,MI,94.1,709.0,0
12950.0,36000.0,9.67,10+ years,B, 36 months,credit_card,OWN,OK,38.9,744.0,0
18400.0,40000.0,23.04,10+ years,C, 60 months,credit_card,RENT,NY,16.7,679.0,0
1500.0,12000.0,17.7,5 years,C, 36 months,debt_consolidation,RENT,AZ,19.9,744.0,0
27000.0,80000.0,14.88,10+ years,F, 60 months,home_improvement,MORTGAGE,AZ,27.5,679.0,0
12000.0,71000.0,19.08,10+ years,A, 36 months,debt_consolidation,RENT,TN,79.5,684.0,0
4375.0,12200.0,21.36,10+ years,D, 36 months,credit_card,RENT,CA,50.1,709.0,0
18000.0,57000.0,38.91,10+ years,D, 36 months,debt_consolidation,MORTGAGE,KS,47.0,734.0,0
1200.0,61000.0,20.68,7 years,D, 36 months,renewable_energy,MORTGAGE,TX,41.0,684.0,0
30000.0,89000.0,17.72,10+ years,B, 60 months,debt_consolidation,MORTGAGE,TX,62.9,684.0,0
24000.0,85000.0,14.58,3 years,B, 60 months,credit_card,OWN,NY,68.4,714.0,0
24000.0,65000.0,7.85,4 years,B, 36 months,debt_consolidation,MORTGAGE,NC,82.6,704.0,0
7450.0,40000.0,5.91,< 1 year,D, 36 months,debt_consolidation,MORTGAGE,AZ,49.0,679.0,1
2500.0,100000.0,19.08,10+ years,A, 36 months,home_improvement,OWN,LA,69.8,694.0,0
30000.0,90000.0,15.39,8 years,F, 60 months,debt_consolidation,MORTGAGE,CO,62.8,684.0,0
15000.0,77000.0,13.68,2 years,A, 36 months,credit_card,RENT,NJ,52.2,704.0,0
