loan_amnt,annual_inc,dti,emp_length,grade,term,purpose,home_ownership,state,revol_util,fico,default
12328.84334572041,76160.19266962765,13.711439351562163,7 years,E, 36 months,debt_consolidation,MORTGAGE,MA,12.131099317027244,602.7035771028198,0
5667.212578265943,86924.8508383174,0.6385400285009504,2 years,E, 36 months,debt_consolidation,MORTGAGE,CA,64.63884640240069,516.5731171101152,1
6732.054732745963,61797.698986314535,30.319495089649923,5 years,G, 36 months,other,RENT,CT,86.99324584254074,330.0742202614922,1
6696.404595328868,43414.020678886496,31.79877192853563,9 years,D, 36 months,debt_consolidation,MORTGAGE,MS,40.327442724009856,600.9168511766396,0
6373.975573112532,39145.447787254394,22.67553410104293,< 1 year,F, 36 months,home_improvement,RENT,TX,39.94491190655691,497.436866398639,1
5579.062122936959,32134.47007173296,7.244290993981675,4 years,G, 36 months,home_improvement,MORTGAGE,MI,58.06016178515298,345.89263945931884,0
11170.061164946204,61705.31418865134,22.942360446066303,3 years,G, 36 months,credit_card,RENT,WA,54.95911230679379,441.73569021420855,1
14353.706829969455,55969.196065553624,18.527143082311223,3 years,E, 60 months,debt_consolidation,RENT,GA,42.306861381621154,568.8697068371208,1
3173.1782248367417,41145.213105218,33.79117306810575,6 years,G, 36 months,debt_consolidation,RENT,KS,29.166581897114227,469.05876970925385,1
16722.727891207658,37066.65402936889,38.71290893182931,3 years,G, 60 months,credit_card,RENT,FL,7.020975932336164,339.21025680458024,1
21019.931135561448,45266.63165908885,14.21190068835636,4 years,G, 60 months,debt_consolidation,RENT,MN,13.838953809808253,307.3771340552158,1
8362.230878270582,85166.45818646696,34.558157190145046,2 years,G, 36 months,debt_consolidation,RENT,SD,38.483865667006775,319.9410036291956,0
14454.368171114234,88825.39155895988,29.776262381298245,7 years,G, 60 months,debt_consolidation,MORTGAGE,NJ,61.73464025760257,355.2277439761835,1
8947.402576131193,42098.298640892746,8.56989471543693,4 years,G, 36 months,major_purchase,RENT,NY,18.50221561173484,486.76495871809936,1
34380.455209481224,108911.78143224347,24.607222374410913,4 years,G, 60 months,debt_consolidation,OWN,NV,71.68877130687682,383.771296711814,1
25842.192982440087,132652.71952822513,12.22213735341896,2 years,G, 60 months,home_improvement,MORTGAGE,VA,84.82570947943373,377.5377444216066,1
15882.954604710107,65975.8368487414,28.324734375246376,4 years,G, 60 months,debt_consolidation,RENT,VA,26.535542414632783,439.884227978729,1
16517.875967195963,145197.78572771364,20.553315141923044,1 years,F, 60 months,small_business,OWN,MD,80.47912257627962,480.1257397181955,0
13278.509663989349,90887.47137188472,15.847064921174011,3 years,E, 36 months,credit_card,RENT,VT,53.27118715778345,505.60715840293176,1
6241.271948965126,33723.77551823745,25.80938458387035,4 years,F, 36 months,credit_card,RENT,PA,83.50462204241279,461.95828957544404,0
27818.083213140577,57143.210363347585,5.014031811213411,2 years,E, 60 months,debt_consolidation,MORTGAGE,AL,63.50017238427603,524.63404415698,0
30806.094965319942,81263.88743042127,17.346422081490925,3 years,G, 60 months,debt_consolidation,MORTGAGE,MA,55.70700491818178,484.4130599738337,1
16570.363927833125,139738.1299796884,11.211109818138691,2 years,E, 36 months,credit_card,RENT,NJ,26.13538935374649,565.1218060029462,0
21434.908592781932,100431.09197266641,20.096321815929855,2 years,G, 36 months,debt_consolidation,MORTGAGE,CO,57.43060460697022,470.7755219248113,0
4393.814814626484,22290.482746911854,11.361307786893915,4 years,F, 36 months,debt_consolidation,RENT,PA,40.37183613083817,598.0424618299063,0
33240.4640446865,92485.66732254393,28.33193049140354,8 years,G, 60 months,credit_card,MORTGAGE,KY,56.77118760631606,429.2484869148207,1
16823.757489039916,60704.693654179806,27.579367478079078,10 years,E, 60 months,credit_card,MORTGAGE,CA,85.13028941678145,599.2336207325294,0
4896.488111102128,124445.67215246653,5.581213731791093,3 years,E, 36 months,debt_consolidation,RENT,CA,49.03233074467633,588.3776531890641,0
19962.752855716215,49313.767427781764,18.42553071777242,10 years,E, 36 months,debt_consolidation,RENT,NE,52.09655242032327,518.890620603138,1
18690.890794619885,70858.93705370495,25.089057714365673,9 years,G, 60 months,credit_card,MORTGAGE,NC,71.00931353197933,367.56552282672396,1
14666.972447008562,66865.64921410833,23.677594545373278,7 years,G, 60 months,debt_consolidation,MORTGAGE,NJ,50.05497230642717,333.7259976048635,1
29801.45380242879,70090.30378476992,27.193129815091535,6 years,F, 60 months,credit_card,MORTGAGE,MD,55.847151380561506,401.17960110270667,1
1465.2347714452867,89789.88792026839,10.0626787685182,9 years,G, 36 months,debt_consolidation,MORTGAGE,CA,32.993300839588734,369.55453590385025,1
5698.960977706233,20000.0,10.844113452698295,3 years,F, 36 months,credit_card,RENT,CO,23.33582704918931,431.9264253096823,1
34518.93200728808,72744.13958257338,19.9292463358719,< 1 year,G, 36 months,credit_card,MORTGAGE,NY,58.961577616362256,395.5249257185727,1
14590.62347075777,32371.516165980338,25.10428927096271,< 1 year,D, 36 months,debt_consolidation,RENT,TX,26.301185783441593,603.0257522157876,1
12315.098086994816,39547.19371973371,31.413171174603363,7 years,E, 60 months,debt_consolidation,RENT,IL,42.46556705782294,506.05789680068074,1
6093.187994385144,30822.30031674689,27.989836314540312,10 years,F, 36 months,debt_consolidation,RENT,TN,66.75086574234227,512.1455362434807,0
33175.587189410595,152388.22978279294,34.64711073959905,10 years,D, 36 months,credit_card,MORTGAGE,OH,68.54650180010677,613.9455343900895,0
17758.677912351992,52113.426472081475,15.380977166407154,9 years,G, 36 months,credit_card,MORTGAGE,DE,68.69690325952718,386.6845573232864,1
13709.836565085901,22766.500761061696,19.458739520227514,1 years,F, 60 months,debt_consolidation,RENT,TN,91.27651896227367,504.7928320158464,1
17962.080082257526,87083.29596541122,25.5060154234517,6 years,E, 36 months,debt_consolidation,MORTGAGE,NV,67.35798314410884,600.273072518662,0
13097.09590278102,36404.5340854238,15.192340806204975,3 years,F, 36 months,credit_card,MORTGAGE,MO,77.35071708870484,521.1537535330317,0
6840.247646827687,74198.33551912753,16.48768348677213,3 years,F, 36 months,credit_card,MORTGAGE,OH,77.9444596799044,558.7690325731064,0
8974.000823187449,49411.183971169594,15.226497238404344,1 years,G, 36 months,credit_card,RENT,CA,57.87251057419908,332.6841360154385,1
26118.913054615175,52029.79318560019,28.051175055586825,< 1 year,G, 60 months,car,RENT,CA,54.5383149281907,480.50385202881745,0
34169.897013399364,98445.49498097623,21.04047721402732,7 years,G, 60 months,home_improvement,MORTGAGE,CA,17.038980393423877,304.03256166227686,0
13837.880164174818,34646.23553471858,30.244671410005953,10 years,E, 36 months,debt_consolidation,MORTGAGE,NM,81.20380455702805,607.9775147214533,0
24374.227474511317,93892.68297615545,27.976604149098055,6 years,G, 36 months,credit_card,RENT,CA,80.58264383420737,313.71010909659765,0
6700.865287144717,21521.124751742234,0.323913596926503,1 years,F, 36 months,debt_consolidation,RENT,KS,71.03196152456646,502.22357337919055,1
20020.972888190267,47551.48987944037,26.691512013922274,< 1 year,G, 60 months,debt_consolidation,RENT,FL,50.35238561154846,433.66659952198887,0
21335.244295029435,75752.0671513883,27.095278728446107,9 years,G, 60 months,debt_consolidation,MORTGAGE,RI,100.0,409.43007893833465,1
14035.167340618927,33429.4718743708,22.250396404099742,1 years,F, 60 months,debt_consolidation,RENT,OH,42.515330521481864,528.136168090894,1
18197.480096199622,61908.52365269403,10.929088218804143,2 years,G, 60 months,debt_consolidation,RENT,WA,56.646713084624366,344.2503052839151,1
12172.045272562851,32273.867652589055,30.63891718508072,4 years,G, 36 months,debt_consolidation,RENT,MI,76.39479074704191,300.6378447999233,0
13109.216614783376,75195.15331687697,27.638868882167014,6 years,F, 60 months,debt_consolidation,RENT,CT,53.3214842551186,501.6886381801914,0
14767.180910091356,253432.50613354106,27.265910504164577,9 years,F, 36 months,home_improvement,OWN,OH,52.23950494329699,549.7637112898475,0
2861.122104722418,60251.23847384999,20.790671512057454,3 years,G, 36 months,debt_consolidation,MORTGAGE,NM,61.292986298083534,431.47896838942825,1
1000.0,37175.3078333329,19.433609226553514,9 years,F, 36 months,other,MORTGAGE,TN,83.88352873273679,564.0585434157705,0
15752.80361720978,31155.64872384331,14.005283788097906,1 years,G, 36 months,debt_consolidation,RENT,NJ,48.78440655585316,346.6563210184091,0
10836.987395240836,59776.593463529214,10.728919145718649,< 1 year,F, 60 months,credit_card,OWN,NJ,15.480008090312296,509.32215122296134,0
16626.607591949403,56524.1749410864,22.597320549510442,9 years,F, 60 months,debt_consolidation,RENT,GA,39.59510335080302,446.31838825780613,1
7061.006666704503,39658.45894718078,20.346864789060803,6 years,G, 36 months,debt_consolidation,RENT,NV,76.37663750673683,439.61865940275743,1
10195.487193534347,38785.98401038904,28.101770329237116,< 1 year,G, 36 months,debt_consolidation,RENT,VA,84.51195558960096,421.1247468979337,1
2815.1290962469952,91948.187256516,28.853321865508608,5 years,G, 36 months,debt_consolidation,MORTGAGE,PA,35.48731538266364,333.6703213211814,0
14803.714491028048,89661.74141653963,18.66887388526524,5 years,G, 60 months,credit_card,RENT,OK,92.40300631738388,345.2260653832981,1
27885.190947907315,42198.223870318354,50.0,3 years,G, 60 months,debt_consolidation,MORTGAGE,SC,94.75919931136427,453.80199977893125,1
24501.705169493554,60775.50412979096,9.046727523241607,1 years,G, 36 months,credit_card,RENT,CA,73.41730614644766,453.64368017820755,1
5320.87530952883,48128.588338712696,36.99507482857412,9 years,G, 36 months,debt_consolidation,RENT,TX,58.60089714911078,370.35659479250074,1
7065.8722294010895,85020.51634052428,25.356565594082575,9 years,G, 36 months,debt_consolidation,MORTGAGE,IN,0.0,360.45378679027834,1
31692.61815432409,105849.91899804074,25.689719488933772,10 years,G, 36 months,debt_consolidation,RENT,HI,96.30721432071083,311.23766936544394,0
8836.820471296985,55784.58414311031,26.793569831396397,7 years,D, 36 months,debt_consolidation,MORTGAGE,NC,3.6067535149572056,612.0980238160498,1
1092.6405198304735,53790.33354782576,12.095694623283357,9 years,F, 36 months,other,MORTGAGE,GA,94.92621743008537,411.93397319704036,0
6995.25432230537,110388.29578367599,8.934640070643823,6 years,E, 36 months,debt_consolidation,MORTGAGE,MA,62.30746048504524,602.8176558064697,1
4552.329720719357,56491.8010563,26.774348628492763,< 1 year,F, 36 months,debt_consolidation,RENT,NC,48.417329207517184,527.6357955839653,0
1000.0,82321.55386065254,10.780126510714696,7 years,G, 36 months,debt_consolidation,OWN,NY,32.17293445305365,311.08024999526054,1
12638.064767932392,50727.68095874478,29.730698549508205,10 years,E, 36 months,credit_card,MORTGAGE,UT,27.936764591285925,578.0882260203908,0
7236.447529355713,53162.44187011556,28.364068883007633,8 years,G, 36 months,debt_consolidation,MORTGAGE,CA,86.83382780865578,315.23941260844526,1
22958.28694525137,84767.22373700356,25.994998084985692,5 years,G, 60 months,debt_consolidation,MORTGAGE,MI,60.33308855963278,386.6397908200137,0
26533.37511477588,139076.65531044654,18.376426515511216,8 years,G, 36 months,home_improvement,MORTGAGE,TX,24.947578002739384,324.42214905822283,1
7144.58431736934,38113.388362456826,10.82462119706966,7 years,G, 36 months,debt_consolidation,RENT,TX,84.28653332943054,468.8963936177838,0
19218.14474526324,86658.91079333672,29.082110958593532,7 years,F, 60 months,debt_consolidation,MORTGAGE,LA,88.51266621732258,527.1388417474736,1
24511.353788359513,59100.71704467874,20.25738174712812,9 years,G, 36 months,debt_consolidation,MORTGAGE,CA,16.78273043984436,440.825984834746,1
16222.999831734713,189475.8047676622,23.5364684816346,10 years,D, 60 months,debt_consolidation,MORTGAGE,NY,72.417291097344,601.0807101814388,0
25581.70331448488,119763.32166626187,15.691864044333652,8 years,G, 36 months,debt_consolidation,MORTGAGE,GA,68.55938773644333,478.57854653750235,1
19506.67094348794,203024.14461347592,13.37206698261407,9 years,F, 36 months,credit_card,MORTGAGE,NJ,19.10363676806277,512.175653071998,1
12582.187240026886,76808.25130595456,32.66281843612218,1 years,F, 36 months,debt_consolidation,RENT,NY,93.02087914567436,519.4015696986771,0
6985.70065561236,37961.92414949654,34.160575347083906,9 years,G, 36 months,debt_consolidation,RENT,VA,68.25987459674593,314.5479804506606,0
1000.0,56744.62953301986,13.358805612746014,10 years,G, 36 months,debt_consolidation,MORTGAGE,OR,37.72245598296375,336.2284557193722,1
7874.370977962128,43490.102389587104,16.455530533277106,10 years,G, 36 months,debt_consolidation,OWN,NY,18.601542700023476,483.84458213443,1
5562.759951130522,36375.72888824371,14.402905628169483,1 years,G, 36 months,debt_consolidation,RENT,CA,84.48514511060127,307.5388855204729,1
14040.007035682871,45904.85629144909,23.40072805608706,3 years,G, 36 months,debt_consolidation,OWN,KS,22.040796985151665,389.657091104667,1
11067.214214138616,27670.33119469892,14.934070603342375,2 years,G, 36 months,credit_card,RENT,NY,83.93665641347889,359.70137884891255,0
22335.35103801646,59872.88263577067,14.038501533134882,5 years,G, 60 months,debt_consolidation,RENT,IL,31.636132203679317,413.27372717737114,1
10251.145659274485,116055.73326575349,3.412161760532877,< 1 year,E, 36 months,debt_consolidation,MORTGAGE,CO,15.302768385458947,604.997681385171,0
9332.69713853989,155571.3728490509,8.27573916315549,3 years,F, 60 months,debt_consolidation,MORTGAGE,IL,55.940262001940155,528.4022604083764,0
7330.488364880843,54954.35610580492,24.917456999821294,9 years,G, 36 months,debt_consolidation,RENT,CA,28.20201403390627,377.5816998958476,1
2394.532658865428,27780.99580276244,41.65710656641701,1 years,G, 36 months,debt_consolidation,MORTGAGE,TN,27.31835669494509,462.87711111501545,0
10777.631747022402,44656.46067158115,33.44614960087805,7 years,F, 36 months,credit_card,MORTGAGE,MN,49.255185038977466,546.5992453337077,1
12657.293254068452,52400.132745279654,27.591991707820213,8 years,G, 36 months,credit_card,MORTGAGE,TX,73.47743871309848,441.1475184337013,1
18907.719215466164,59210.81714813839,48.0326331802806,1 years,G, 60 months,credit_card,RENT,VA,23.712659852644705,347.1408850436374,1
20122.201262880997,90925.6496141875,37.93672606926593,1 years,F, 36 months,debt_consolidation,MORTGAGE,TX,23.336348164998377,485.76903264835994,1
35000.0,96322.98900299938,30.707325918874506,3 years,G, 60 months,credit_card,MORTGAGE,CA,65.78978985258235,303.44818844357775,0
